,art,entertainment,fashion,food,gaming,health and lifestyle,mom and children,sports,tech,travel
adem,-0.1193307004498772,0.18368606500432572,-0.0624127663417928,-0.043330526563448594,-0.022038831128743518,-0.07731111725051168,-0.11991215664312035,0.20895810886788335,-0.054230710525574335,0.10592263503085986
adet,0.2693236274047787,-0.5256642283397622,-0.20888396982723542,0.23542307805075735,-0.1580474096850079,0.23590566819281183,-0.045912258700456045,0.012681899026493635,0.3351665940035326,-0.14999300012591366
adet yumurta,-0.016031491172370193,-0.023667534411783608,-0.019149307235194445,0.16656878676528802,-0.005029671299210636,-0.035643505560314044,-0.0145079533790025,-0.011341846648124024,-0.022294762599068523,-0.018902714460219742
adeta,0.18134471339095248,0.018222265430617897,0.0010600656713038216,-0.10580763520658816,-0.048108200959251717,-0.05345772525560971,0.03720525423947255,-0.0699301278218352,-0.0011039075572609833,0.04057529806819901
adidas,-0.09362535486483971,-0.12399837373962672,0.7722591394269834,-0.12330371393048134,-0.028649778134645938,-0.06023866665527529,-0.04860084177534798,-0.07049804403323519,-0.1117057720396804,-0.11163859425384957
adil,-0.03339350050300369,-0.05541447332287854,-0.03324890347852597,-0.035612459624968215,-0.016310336853965768,0.18465402207265655,0.09563784761102498,0.006643395733706566,-0.036931086409011916,-0.07602450522503361
adlı,0.7893470112279037,0.3122594744716977,-0.22370708571571785,-0.22326255169302764,-0.08227490472657752,0.14159212334189966,-0.07810809503324934,-0.2659636950982912,-0.19524943341304551,-0.17463284336159093
adnan,0.1477600486494771,0.06124966444220915,-0.09888685113394909,0.15341663818750823,-0.022633260308819896,0.05559487708125645,-0.03297569797675476,-0.09380526067497207,-0.06499721485321774,-0.10472294341273698
adres,0.5422105737219752,-0.21205928486743064,0.05252387740734949,0.4163101405716806,-0.07823603879089243,0.011789175882958629,-0.07998987691440398,-0.1873946902193264,-0.29477676880934817,-0.17037710798256078
adresi,-0.0866672870071758,0.06627871885372809,0.28321081397814746,0.009017195895271073,-0.06287725789116504,-0.16645475587992192,0.028526393455593962,-0.0019006018742201997,-0.12372842664201503,0.05459520711175717
adresinde,0.1699245176049584,-0.133615132494075,-0.03345305094263803,0.11626284760432004,-0.03900092082997919,0.08665555224774354,-0.06202943409798479,-0.008493479260830565,-0.1219095890466647,0.025658689215149588
adresinden,-0.1536667764943157,-0.1143759151111661,-0.06391157559634683,0.03071363322925395,0.9138061193962387,-0.08836143089283048,-0.1330960366926013,-0.21917400942329512,-0.005421327775558227,-0.16651268063937874
adresine,0.12357822700580669,0.032063075021428494,-0.11067093678273916,0.057331920730857924,0.04447739756946595,-0.075936752645609,0.0536371020755547,-0.048869520711076635,-0.03111168340130347,-0.04449882886238505
adresini,-0.08635915911161873,-0.04848684113113404,-0.08489600815922344,0.058618857801765546,-0.036299217003918596,0.12347861850397097,-0.07412271904721411,-0.08809393272805616,0.3086082522089304,-0.07244785133350226
adresini ziyaret,-0.07624419677327254,-0.06061155641618881,-0.08125528926969398,0.045638326755577496,-0.03538832894606003,0.11189320218084858,-0.07118897340951222,-0.08545258438554085,0.32002270478529665,-0.06741330452145343
adventure,-0.015894034489628936,-0.015669644927741578,0.007990834729461377,-0.1158589158644714,-0.02559656148983576,-0.09745184068008222,0.004496559175074294,0.12595468278290423,-0.09172760523023188,0.22375652599455154
advertising,-0.146294453954234,0.09328430505142678,-0.0764262878887407,0.05335234624028164,-0.02185866633269899,-0.05544724185028182,-0.06275060164733348,-0.04697298773084174,0.3418299536349775,-0.07871636552255513
adı,0.2497765496655051,0.037642107148801916,-0.11147216767348452,-0.11150938331532614,-0.07623497643105816,0.09558468548292483,-0.10411004885427724,-0.09694703645983693,-0.06729015388115071,0.1845604243179024
adım,-0.08981890829227489,-0.10674396403666613,0.014580444988415181,-0.005620170532480507,-0.1269297557386264,0.19110384435844452,-0.05437339237358133,0.23412410694246227,0.06824700079406137,-0.12456920610975444
adım adım,-0.0353579296441946,-0.08585556073394958,0.009805254822595528,0.04423758962650379,-0.05181733003719764,-0.047953570289014626,-0.01921171222820589,0.2612833833335077,-0.04747082768869279,-0.027659297161352007
adım atmak,-0.0023314518123640133,0.03544139494959001,-0.010075127937053861,0.034155155512633664,-0.008359785686272622,0.043462505484082994,-0.03868595454503201,-0.026785289813274174,0.004515089983823403,-0.03133653613613358
adım atın,0.016966020282735823,-0.11023792465992013,-0.0058459035605541824,-0.02639724554646497,-0.02354775971294617,-0.02613980640687825,0.001956141259406022,-0.019870384023325794,0.2118318581872564,-0.01871499581930842
adımadım,-0.05400839532041183,-0.059425052249627075,-0.06495997261132624,-0.05226545477845228,-0.010211817165179016,-0.013560427738315431,-0.0328179600868775,0.4012483377271927,-0.04149945553575827,-0.07249980224124619
adımda,-0.058930470103833656,-0.05302100201050009,-0.03890314284030024,-0.015616620365198836,-0.021222076822763888,0.03699130461620014,0.08167096667404382,-0.019687735766613725,0.09349791071006419,-0.004779134091097332
adımlar,-0.18273683685789516,-0.05459889999119503,0.3197445393150183,-0.1590293239071223,-0.04584944139322284,-0.004725960066770296,0.3006662726215065,-0.12367966190591027,-0.010469203201418293,-0.03932148461299082
adımlarla,-0.1383986554379951,-0.14003560036231782,0.3388793660743178,-0.050816968111386106,-0.03967715165031086,-0.038021811323927686,0.12358777471086531,0.10988556577455276,-0.06947634594875882,-0.09592617372503885
adımları,0.008221350985623668,-0.029756945477901697,0.005391658888525436,-0.015827848599110038,-0.018111448512006887,0.05269483969257674,0.023983022076781452,0.04144971625639689,0.0010167699339417174,-0.06906111524482723
adımı,-0.12997711508662013,0.007335283564874753,-0.06283248539172326,-0.0578226576981992,-0.03369568796198742,-0.02669685322619732,0.04819800401006826,0.2917072290384538,0.025470008270360195,-0.06168572551902979
adına,0.11452934858500176,-0.11546950304989263,-0.13690024248185628,0.1163691164633016,-0.10430456687948061,-0.0775435508317568,0.09411202390480145,0.18702151011495635,-0.04454824442507046,-0.03326589140000489
adını,0.08081796164139081,0.12586612431611105,-0.026823019682710763,-0.06489326495868422,0.032458472337994995,-0.03221368383858835,-0.2232735798126217,0.24086057058623897,-0.07663080757203045,-0.05616877301710059
adıyaman,-0.019554816279752415,0.09169786997351549,-0.061373052330746115,0.013815644407760723,-0.023501440826989555,0.1520618932834531,-0.12928667026386018,0.028575470795718004,0.01651081740509401,-0.06894571616419287
adıyla,0.18399645335469633,0.2779441794570177,-0.1006146036973485,-0.04756311943396227,-0.023456874146631595,0.004554999272890078,-0.07714096598560402,-0.0645038592597151,-0.10114709317937334,-0.05206911638197051
aegean,-0.07596410728968381,-0.06885621436630368,-0.06864539890612045,-0.04611946504693831,-0.011982551948097733,-0.005693828852368269,-0.030640272021742024,-0.03360449086637338,-0.022032334058784023,0.3635386633564113
aesthetic,0.11257608607058943,-0.04773667315944256,-0.06220707751992417,-0.06217192892881859,-0.00907179329455482,0.25897025578323607,-0.029626319099603237,-0.0636862260524623,-0.02137316630364472,-0.07567315749537577
aesthetics,-0.007240527924482995,-0.023548173492233433,0.015765423156848778,0.008646824126758093,-0.0049030005219848904,0.09292889889849654,-0.013643019383545278,0.02220259417427477,-0.04142090579518378,-0.04878811323894795
afad,-0.10133781980626404,0.039047966851214255,-0.08017325884644814,-0.04639261850993237,-0.02194045739580343,0.03385757961976449,0.11321160681337149,-0.10503426693674205,0.011109872867720959,0.15765139534311848
afet,0.2664369866673956,-0.08099495743183482,-0.12871824965470535,-0.044682317708253746,-0.040381669370693436,0.3148560228881289,-0.18857594623732346,0.007489027995432291,-0.18629990924196424,0.08087101209381763
afiyet,-0.13876139039752938,-0.10140791697843272,-0.1745683479411797,0.8250216374123499,-0.04935192021730264,0.041959262745182864,-0.17035999257649867,-0.10118498865297952,0.03336366245373332,-0.16471000584734385
afiyet olsun,-0.13058772582986647,-0.10439477545131566,-0.16653319973668118,0.7350527743463346,-0.04688539038907608,0.04676003010037553,-0.13970206204150676,-0.08437253245904716,0.03109358431209229,-0.14043070285130826
afiyetle,-0.02875957868864459,-0.07928792881911807,-0.09054926646601694,0.3254529406822831,-0.019289522176953407,-0.010207292316467616,0.015594614036994196,-0.05387690166353713,-0.042859574626759905,-0.016217489961780334
